iter	Logloss
0	0.6467704717
1	0.6102174005
2	0.5887392718
3	0.5577392632
4	0.5356032181
5	0.5221486189
6	0.5088474893
7	0.4949490891
8	0.484512102
9	0.4776649357
10	0.4715277156
11	0.4636818304
12	0.4580950198
13	0.4531540185
14	0.4498386358
15	0.444831187
16	0.4420934263
17	0.43931407
18	0.4369923842
19	0.4347374585
20	0.4334535445
21	0.4324025638
22	0.4306553139
23	0.4296768522
24	0.4283889025
25	0.427024718
26	0.4257549147
27	0.4247321332
28	0.4240856279
29	0.4223431555
30	0.4210397776
31	0.4204041026
32	0.4195974502
33	0.4191968537
34	0.4186813725
35	0.4180014453
36	0.4172650401
37	0.4169010522
38	0.4165175336
39	0.4157511179
40	0.4155489617
41	0.4150896751
42	0.4144607759
43	0.4140618878
44	0.4138693484
45	0.4135873322
46	0.4134311158
47	0.413025893
48	0.4127447012
49	0.4123918459
50	0.4120233937
51	0.411932231
52	0.4117084337
53	0.4114890855
54	0.4114772423
55	0.4113619824
56	0.4111315108
57	0.4110735232
58	0.4108407539
59	0.4107838479
60	0.4106532034
61	0.4105565059
62	0.4103327413
63	0.4098231174
64	0.4096757474
65	0.4095474358
66	0.4093705283
67	0.4090062838
68	0.4089852651
69	0.4088172755
70	0.4087040718
71	0.4086510472
72	0.4085036036
73	0.4081389811
74	0.4079642255
75	0.4078465829
76	0.4077969291
77	0.4077158407
78	0.4076658465
79	0.4074219493
80	0.4074193181
81	0.4073007744
82	0.4069601607
83	0.4068664705
84	0.4065395928
85	0.4062611036
86	0.4061429532
87	0.4060719492
88	0.4059918597
89	0.4058425724
90	0.4055638774
91	0.4054065421
92	0.4051432054
93	0.4050795004
94	0.4049946666
95	0.404734585
96	0.4045462234
97	0.4045435658
98	0.4043978152
99	0.4041858869
100	0.4041247698
101	0.4040594038
102	0.404014411
103	0.4038051608
104	0.4037367558
105	0.4036986996
106	0.4034958155
107	0.4034580065
108	0.4034358978
109	0.4033909346
110	0.403221578
111	0.403101269
112	0.4029617499
113	0.4029044043
114	0.4027452275
115	0.4027452196
116	0.4026555602
117	0.4025139435
118	0.4023166456
119	0.4022906492
120	0.4021354958
121	0.4019751501
122	0.4019751474
123	0.4018655802
124	0.4018123571
125	0.4016756737
126	0.4014898128
127	0.4014896798
128	0.4014408341
129	0.401388396
130	0.4013459067
131	0.4013266874
132	0.4011775003
133	0.4010395675
134	0.4007325505
135	0.4006749932
136	0.4005643906
137	0.4005262777
138	0.4004708463
139	0.4004306866
140	0.4004003648
141	0.400364566
142	0.4002990034
143	0.4002527894
144	0.4002101128
145	0.3999617793
146	0.3998380918
147	0.3997945036
148	0.3996834608
149	0.3995892539
150	0.3995838588
151	0.3994852302
152	0.3994180683
153	0.3993867692
154	0.399292197
155	0.3992649547
156	0.3992101496
157	0.3991748075
158	0.3991675338
159	0.3987816532
160	0.3987538199
161	0.398721313
162	0.3986073608
163	0.3986004763
164	0.3985498317
165	0.3983927507
166	0.3983314583
167	0.3982972532
168	0.3982686245
169	0.3982444561
170	0.3980410387
171	0.3980141372
172	0.3979642335
173	0.3979103968
174	0.3978916102
175	0.3977357186
176	0.3976594635
177	0.3975427395
178	0.3973619246
179	0.3973305511
180	0.3971982033
181	0.3971286735
182	0.397072414
183	0.396997813
184	0.3968055554
185	0.3967165316
186	0.3967010818
187	0.3966552966
188	0.3966483911
189	0.3965269233
190	0.3964635738
191	0.396411684
192	0.3962152818
193	0.3961708536
194	0.3959949428
195	0.3959899133
196	0.3959182254
197	0.3957969001
198	0.3957006676
199	0.3955812412
200	0.3955374276
201	0.3954070516
202	0.3950872268
203	0.3950506109
204	0.3950134654
205	0.3949233076
206	0.3948699624
207	0.3948541349
