iter	Passed	Remaining
0	6	1437
1	14	1465
2	24	1663
3	35	1827
4	44	1809
5	53	1786
6	62	1804
7	70	1772
8	80	1776
9	88	1756
10	98	1764
11	106	1747
12	117	1766
13	127	1763
14	135	1749
15	144	1734
16	151	1706
17	159	1680
18	167	1663
19	174	1635
20	181	1616
21	188	1596
22	196	1579
23	203	1556
24	210	1541
25	217	1524
26	227	1522
27	234	1507
28	242	1496
29	249	1483
30	257	1468
31	265	1458
32	272	1443
33	281	1438
34	288	1428
35	296	1418
36	304	1406
37	312	1398
38	319	1385
39	328	1378
40	335	1367
41	343	1357
42	350	1344
43	357	1333
44	366	1325
45	373	1314
46	380	1304
47	387	1292
48	395	1283
49	402	1272
50	410	1264
51	418	1255
52	426	1248
53	436	1244
54	445	1240
55	455	1236
56	464	1230
57	475	1230
58	483	1221
59	493	1216
60	504	1216
61	516	1216
62	526	1212
63	536	1207
64	548	1206
65	557	1199
66	565	1190
67	575	1184
68	612	1234
69	635	1253
70	659	1272
71	668	1263
72	683	1263
73	693	1255
74	700	1241
75	708	1230
76	715	1216
77	722	1204
78	730	1192
79	737	1179
80	744	1167
81	751	1155
82	759	1143
83	765	1130
84	773	1118
85	780	1107
86	788	1096
87	795	1084
88	801	1071
89	808	1060
90	815	1048
91	822	1037
92	830	1026
93	837	1016
94	845	1005
95	852	994
96	860	984
97	867	974
98	875	964
99	883	953
100	891	944
101	898	933
102	905	923
103	912	912
104	931	913
105	938	903
106	945	892
107	953	882
108	960	872
109	968	862
110	974	851
111	982	841
112	989	832
113	1000	824
114	1010	817
115	1045	829
116	1060	825
117	1071	817
118	1080	807
119	1090	799
120	1097	789
121	1106	780
122	1113	769
123	1120	759
124	1127	748
125	1134	738
126	1141	728
127	1148	717
128	1155	707
129	1162	697
130	1169	687
131	1176	677
132	1183	667
133	1190	657
134	1198	648
135	1206	638
136	1213	628
137	1220	619
138	1228	609
139	1235	600
140	1242	590
141	1249	580
142	1257	571
143	1264	562
144	1272	553
145	1280	543
146	1287	534
147	1294	524
148	1302	515
149	1308	506
150	1316	496
151	1326	488
152	1333	479
153	1341	470
154	1348	461
155	1356	452
156	1363	442
157	1370	433
158	1378	424
159	1385	415
160	1393	406
161	1400	397
162	1407	388
163	1415	379
164	1422	370
165	1429	361
166	1437	352
167	1446	344
168	1454	335
169	1462	326
170	1470	318
171	1478	309
172	1487	301
173	1494	292
174	1503	283
175	1510	274
176	1518	265
177	1525	257
178	1533	248
179	1540	239
180	1547	230
181	1555	222
182	1562	213
183	1570	204
184	1577	196
185	1585	187
186	1592	178
187	1601	170
188	1609	161
189	1618	153
190	1627	144
191	1638	136
192	1646	127
193	1656	119
194	1665	111
195	1674	102
196	1683	93
197	1690	85
198	1700	76
199	1708	68
200	1718	59
201	1726	51
202	1735	42
203	1742	34
204	1750	25
205	1757	17
206	1765	8
207	1773	0
