iter	RMSE
0	77993.99541
1	75920.70088
2	73908.62277
3	72167.24284
4	70405.57248
5	68603.32657
6	66951.18187
7	65334.00432
8	63643.80379
9	62133.41956
10	60785.97438
11	59440.98949
12	58215.52709
13	56875.17577
14	55572.20127
15	54417.09273
16	53206.80872
17	52089.26881
18	50977.04228
19	49949.95577
20	48988.41637
21	48081.98676
22	47099.33465
23	46198.57681
24	45347.44335
25	44534.28463
26	43828.57704
27	43060.97642
28	42286.59578
29	41575.72856
30	40922.04795
31	40246.98869
32	39689.49205
33	39000.22577
34	38434.72395
35	37901.84918
36	37394.84611
37	36881.98409
38	36440.27105
39	35970.86287
40	35531.54707
41	35062.74181
42	34639.51209
43	34229.22336
44	33778.44788
45	33337.0761
46	32915.29428
47	32557.20157
48	32185.72088
49	31819.05855
50	31449.39117
51	31078.30177
52	30808.48634
53	30487.8621
54	30236.02647
55	29918.31496
56	29638.83729
57	29384.40949
58	29126.76242
59	28909.6956
60	28669.06019
61	28464.59791
62	28271.0831
63	28089.06092
64	27877.1939
65	27663.68985
66	27480.69211
67	27242.71243
68	27035.2421
69	26847.37199
70	26657.32212
71	26437.18746
72	26230.54717
73	26021.9292
74	25835.97833
75	25686.96159
76	25546.43732
77	25372.84645
78	25218.77622
79	25024.78158
80	24872.88486
81	24694.17969
82	24567.85683
83	24379.95252
84	24269.53183
85	24189.23002
86	24027.45034
87	23906.20162
88	23779.61638
89	23670.9661
90	23535.50163
91	23394.92978
92	23249.96824
93	23130.08768
94	23030.05756
95	22946.51287
96	22804.19513
97	22685.96004
98	22593.00556
99	22485.61159
100	22412.21401
101	22341.37647
102	22254.28905
103	22147.94205
104	22042.24642
105	21929.61315
106	21841.65221
107	21768.2809
108	21665.91573
109	21591.13892
110	21493.7641
111	21374.82709
112	21279.21519
113	21225.24816
114	21158.37072
115	21069.10116
116	20970.89801
117	20916.98098
118	20829.65213
119	20749.24726
120	20679.6887
121	20632.58692
122	20571.45604
123	20488.80063
124	20417.28559
125	20349.48914
126	20293.90148
127	20266.37143
128	20213.00471
129	20166.12597
130	20106.03904
131	20029.90696
132	19991.22857
133	19937.07397
134	19903.37077
135	19846.39596
136	19797.66001
137	19733.62599
138	19653.79173
139	19593.78651
140	19530.0514
141	19460.29569
142	19412.3652
143	19365.59924
144	19305.79734
145	19264.74344
146	19241.87126
147	19171.40541
148	19124.31626
149	19065.74032
150	19006.85565
151	18957.58332
152	18898.64215
153	18868.1597
154	18833.06982
155	18797.1737
156	18740.09916
157	18726.42289
158	18678.01503
159	18613.69859
160	18561.73961
161	18512.31777
162	18450.73154
163	18409.59314
164	18362.30347
165	18328.12587
166	18275.96538
167	18248.60739
168	18212.49589
169	18190.11781
170	18137.39332
171	18114.88513
172	18078.97893
173	18044.25919
174	18005.97923
175	17970.9496
176	17921.5085
177	17909.74499
178	17875.9105
179	17822.98223
180	17772.10496
181	17740.80174
182	17696.11685
183	17676.50778
184	17653.78422
185	17631.88982
186	17603.0862
187	17588.86094
188	17562.36458
189	17525.44209
190	17492.83813
191	17480.53375
192	17458.7068
193	17412.95776
194	17387.53138
195	17356.81859
196	17316.95827
197	17285.00071
198	17273.83349
199	17234.69854
200	17199.19079
201	17175.31558
202	17130.63236
203	17118.29847
204	17108.0873
205	17069.93462
206	17039.02926
207	16976.75872
208	16952.8888
209	16924.40265
210	16913.4684
211	16904.46822
212	16874.14474
213	16837.95995
214	16803.70906
215	16766.34196
216	16756.89877
217	16717.28973
