iter	Passed	Remaining
0	7	7574
1	14	7072
2	18	6137
3	22	5641
4	26	5252
5	30	5008
6	33	4820
7	37	4614
8	40	4425
9	44	4368
10	48	4330
11	51	4268
12	55	4183
13	58	4117
14	62	4124
15	66	4088
16	69	4039
17	73	3997
18	77	3996
19	81	3976
20	84	3920
21	86	3861
22	89	3821
23	93	3808
24	96	3773
25	99	3728
26	102	3690
27	105	3657
28	108	3644
29	111	3621
30	114	3594
31	117	3562
32	120	3533
33	123	3519
34	127	3510
35	130	3497
36	133	3482
37	136	3464
38	140	3461
39	143	3455
40	148	3461
41	151	3445
42	154	3434
43	158	3447
44	161	3429
45	164	3421
46	168	3413
47	171	3395
48	175	3399
49	178	3385
50	181	3369
51	184	3357
52	187	3343
53	190	3344
54	193	3330
55	196	3319
56	200	3311
57	203	3303
58	209	3343
59	212	3330
60	215	3318
61	218	3309
62	222	3313
63	225	3304
64	228	3293
65	232	3284
66	235	3272
67	239	3280
68	242	3269
69	245	3261
70	248	3252
71	251	3243
72	255	3245
73	259	3248
74	262	3240
75	265	3231
76	268	3223
77	272	3222
78	275	3214
79	278	3206
80	281	3195
81	285	3191
82	288	3187
83	291	3179
84	294	3171
85	297	3163
86	300	3155
87	304	3152
88	307	3145
89	310	3137
90	329	3289
91	339	3347
92	345	3365
93	349	3371
94	354	3379
95	359	3382
96	362	3375
97	365	3364
98	369	3364
99	372	3355
100	376	3346
101	379	3341
102	382	3333
103	385	3323
104	388	3312
105	391	3303
106	394	3293
107	397	3283
108	401	3280
109	403	3268
110	406	3258
111	409	3247
112	412	3237
113	416	3239
114	420	3232
115	422	3223
116	426	3216
117	429	3210
118	433	3209
119	437	3207
120	440	3202
121	444	3195
122	447	3191
123	451	3188
124	454	3182
125	459	3186
126	462	3181
127	466	3178
128	470	3179
129	473	3170
130	476	3163
131	481	3164
132	484	3160
133	487	3153
134	491	3147
135	494	3140
136	498	3141
137	502	3138
138	505	3131
139	508	3126
140	513	3125
141	516	3122
142	520	3117
143	523	3110
144	526	3104
145	530	3104
146	534	3100
147	537	3096
148	542	3099
149	546	3099
150	550	3096
151	555	3098
152	558	3092
153	563	3093
154	567	3093
155	571	3089
156	574	3082
157	578	3081
158	581	3078
159	585	3074
160	590	3074
161	594	3077
162	599	3078
163	603	3074
164	606	3069
165	620	3116
166	629	3137
167	637	3154
168	642	3159
169	646	3158
170	651	3159
171	653	3144
172	656	3137
173	660	3136
174	664	3130
175	668	3129
176	671	3123
177	676	3121
178	679	3116
179	682	3110
180	686	3104
181	689	3100
182	693	3097
183	697	3095
184	701	3088
185	704	3083
186	708	3080
187	712	3076
188	715	3069
189	718	3062
190	721	3056
191	725	3052
192	728	3047
193	731	3040
194	735	3034
195	738	3031
196	743	3029
197	746	3025
198	750	3019
199	753	3014
200	757	3012
201	762	3010
202	765	3005
203	768	2998
204	772	2995
205	776	2991
206	779	2987
207	783	2982
208	786	2976
209	790	2972
210	793	2968
211	797	2965
212	801	2960
213	805	2959
214	809	2956
215	813	2953
216	817	2949
217	822	2948
218	825	2944
219	830	2945
220	836	2949
221	843	2957
222	847	2954
223	855	2962
224	860	2964
225	865	2963
226	871	2968
227	876	2966
228	879	2962
229	883	2959
230	889	2961
231	893	2956
232	897	2953
233	903	2957
234	907	2953
235	910	2949
236	914	2943
237	919	2944
238	923	2939
239	928	2939
240	933	2941
241	939	2941
242	943	2937
243	946	2933
244	963	2970
245	968	2968
246	972	2963
247	975	2958
248	979	2953
249	983	2950
250	987	2945
251	992	2945
252	1033	3052
253	1044	3066
254	1051	3071
255	1057	3073
256	1062	3070
257	1068	3072
258	1072	3067
259	1080	3075
260	1087	3078
261	1092	3077
262	1098	3079
263	1102	3074
264	1106	3070
265	1111	3065
266	1116	3065
267	1120	3059
268	1123	3053
269	1127	3049
270	1132	3047
271	1136	3041
272	1140	3036
273	1147	3041
274	1152	3038
275	1156	3034
276	1161	3032
277	1166	3028
278	1169	3022
279	1178	3029
280	1182	3025
281	1187	3023
282	1192	3020
283	1198	3021
284	1201	3015
285	1205	3010
286	1211	3009
287	1215	3003
288	1218	2998
289	1222	2992
290	1227	2990
291	1231	2984
292	1234	2979
293	1238	2974
294	1244	2973
295	1248	2969
296	1252	2964
297	1256	2960
298	1261	2957
299	1265	2951
300	1269	2947
301	1274	2944
302	1278	2941
303	1282	2936
304	1286	2931
305	1290	2926
306	1295	2923
307	1299	2918
308	1302	2913
309	1308	2912
310	1312	2906
311	1319	2909
312	1326	2911
313	1333	2912
314	1338	2910
315	1345	2911
316	1349	2907
317	1354	2904
318	1362	2908
319	1366	2903
320	1370	2899
321	1375	2897
322	1380	2892
323	1384	2887
324	1389	2885
325	1395	2885
326	1401	2884
327	1407	2884
328	1411	2879
329	1415	2873
330	1420	2870
331	1424	2866
332	1429	2862
333	1433	2857
334	1438	2855
335	1442	2851
336	1447	2847
337	1453	2846
338	1458	2843
339	1461	2837
340	1465	2832
341	1472	2833
342	1477	2829
343	1480	2824
344	1485	2821
345	1490	2816
346	1495	2813
347	1499	2810
348	1503	2804
349	1507	2799
350	1511	2794
351	1515	2789
352	1520	2786
353	1524	2781
354	1527	2775
355	1531	2769
356	1535	2765
357	1539	2760
358	1543	2755
359	1546	2749
360	1551	2745
361	1555	2740
362	1558	2734
363	1561	2729
364	1566	2724
365	1569	2718
366	1573	2713
367	1577	2708
368	1581	2703
369	1584	2698
370	1587	2691
371	1591	2685
372	1594	2680
373	1599	2676
374	1602	2671
375	1606	2665
376	1609	2659
377	1613	2654
378	1616	2649
379	1620	2643
380	1623	2637
381	1626	2631
382	1631	2627
383	1634	2622
384	1638	2616
385	1641	2611
386	1646	2607
387	1650	2603
388	1654	2598
389	1657	2592
390	1661	2588
391	1665	2583
392	1669	2578
393	1672	2572
394	1677	2569
395	1681	2565
396	1685	2559
397	1688	2553
398	1691	2548
399	1696	2544
400	1699	2539
401	1702	2533
402	1706	2527
403	1710	2523
404	1713	2518
405	1717	2512
406	1720	2507
407	1723	2501
408	1728	2497
409	1731	2491
410	1734	2485
411	1738	2480
412	1743	2478
413	1746	2472
414	1750	2467
415	1753	2461
416	1756	2455
417	1760	2451
418	1763	2445
419	1767	2440
420	1770	2435
421	1774	2430
422	1778	2426
423	1782	2420
424	1785	2415
425	1789	2410
426	1793	2406
427	1796	2400
428	1799	2395
429	1803	2390
430	1807	2385
431	1810	2380
432	1813	2375
433	1817	2370
434	1820	2364
435	1824	2360
436	1827	2354
437	1830	2349
438	1833	2343
439	1837	2338
440	1841	2334
441	1844	2328
442	1847	2322
443	1850	2317
444	1853	2312
445	1858	2307
446	1861	2302
447	1864	2297
448	1867	2292
449	1871	2287
450	1875	2282
451	1878	2277
452	1882	2272
453	1885	2267
454	1890	2263
455	1893	2258
456	1896	2253
457	1899	2247
458	1902	2242
459	1907	2239
460	1912	2236
461	1916	2231
462	1921	2228
463	1925	2224
464	1929	2219
465	1932	2214
466	1935	2208
467	1939	2204
468	1942	2199
469	1945	2193
470	1948	2188
471	1951	2182
472	1955	2178
473	1958	2173
474	1961	2168
475	1964	2163
476	1968	2158
477	1971	2153
478	1975	2148
479	1978	2143
480	1981	2137
481	1984	2132
482	1988	2128
