iter	Passed	Remaining
0	9	14368
1	17	13244
2	26	13149
3	35	13370
4	44	13182
5	52	13126
6	61	13160
7	70	13239
8	79	13179
9	88	13210
10	97	13142
11	106	13262
12	116	13356
13	126	13472
14	136	13483
15	145	13486
16	154	13478
17	162	13368
18	171	13374
19	180	13321
20	188	13249
21	195	13150
22	204	13129
23	212	13079
24	221	13091
25	230	13073
26	238	13011
27	247	13006
28	255	12954
29	264	12978
30	274	13017
31	284	13057
32	292	13014
33	301	13007
34	310	12985
35	318	12952
36	326	12916
37	335	12890
38	343	12864
39	357	13043
40	366	13046
41	375	13025
42	383	12991
43	391	12968
44	400	12964
45	409	12946
46	418	12943
47	426	12915
48	434	12879
49	443	12853
50	451	12828
51	461	12837
52	473	12914
53	488	13069
54	497	13062
55	505	13028
56	513	12997
57	522	12989
58	531	12972
59	539	12942
60	547	12925
61	556	12912
62	564	12886
63	574	12890
64	582	12859
65	591	12854
66	600	12843
67	608	12819
68	616	12788
69	625	12772
70	632	12734
71	642	12740
72	679	13284
73	707	13628
74	716	13616
75	729	13661
76	740	13687
77	749	13657
78	757	13629
79	766	13608
80	775	13589
81	785	13583
82	794	13559
83	806	13595
84	826	13762
85	841	13840
86	854	13873
87	866	13898
88	876	13891
89	885	13879
90	895	13860
91	904	13848
92	913	13825
93	922	13797
94	931	13769
95	940	13751
96	949	13731
97	958	13708
98	968	13702
99	977	13682
100	986	13666
101	995	13647
102	1006	13656
103	1023	13736
104	1031	13708
105	1042	13707
106	1051	13688
107	1060	13664
108	1073	13696
109	1083	13690
110	1092	13669
111	1102	13658
112	1110	13632
113	1118	13603
114	1127	13579
115	1135	13551
116	1144	13530
117	1153	13513
118	1163	13500
119	1171	13470
120	1180	13455
121	1189	13430
122	1199	13425
123	1209	13421
124	1218	13406
125	1227	13386
126	1235	13359
127	1244	13343
128	1253	13319
129	1262	13303
130	1270	13278
131	1279	13260
132	1287	13234
133	1296	13215
134	1304	13186
135	1312	13164
136	1320	13134
137	1329	13119
138	1338	13104
139	1346	13083
140	1355	13062
141	1363	13042
142	1372	13020
143	1414	13318
144	1436	13427
145	1446	13416
146	1462	13462
147	1473	13458
148	1481	13433
149	1490	13415
150	1499	13392
151	1507	13372
152	1516	13351
153	1525	13333
154	1534	13315
155	1542	13292
156	1550	13265
157	1559	13243
158	1568	13228
159	1583	13259
160	1594	13260
161	1603	13243
162	1611	13220
163	1621	13208
164	1630	13189
165	1639	13174
166	1647	13153
167	1656	13132
168	1664	13105
169	1672	13082
170	1681	13068
171	1690	13050
172	1698	13031
173	1707	13012
174	1716	12998
175	1725	12977
176	1733	12960
177	1742	12937
178	1752	12932
179	1762	12923
180	1772	12913
181	1780	12895
182	1789	12875
183	1797	12853
184	1805	12833
185	1813	12809
186	1821	12789
187	1829	12769
188	1838	12754
189	1846	12734
190	1854	12712
191	1862	12690
192	1871	12670
193	1879	12653
194	1887	12634
195	1897	12623
196	1906	12610
197	1915	12594
198	1923	12572
199	1931	12556
200	1939	12535
201	1954	12558
202	1971	12594
203	1989	12637
204	1998	12624
205	2012	12639
206	2020	12622
207	2029	12606
